航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,出发日期,出发时间,到达日期,到达时间,isLowCostCarrier,operateAirlineCode,operateAirlineName,operateAlliance,operateFlightNo,stopList,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
CX527,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,305,0,333,空客330(大),L,2024-04-01 14:50:00,2024-04-01 18:55:00,False,False,0,False,True,2024-04-01,14:50:00,2024-04-01,18:55:00,,,,,,,4285,725,5010,6025,,,,,2024-02-09
UO871,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,295,0,321,空客321(中),M,2024-04-01 17:05:00,2024-04-01 21:00:00,False,False,0,False,True,2024-04-01,17:05:00,2024-04-01,21:00:00,True,,,,,,2029,604,2633,3615,,,,,2024-02-09
HX607,1,HX,香港航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,320,空客320(中),M,2024-04-01 09:30:00,2024-04-01 13:30:00,False,False,0,False,True,2024-04-01,09:30:00,2024-04-01,13:30:00,,,,,,,1311,634,1945,2944,,,,,2024-02-09
HX609,1,HX,香港航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,305,0,333,空客330(大),L,2024-04-01 15:55:00,2024-04-01 20:00:00,False,False,0,False,True,2024-04-01,15:55:00,2024-04-01,20:00:00,,,,,,,1311,634,1945,2960,,,,,2024-02-09
CX6323,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,280,0,788,波音787(大),L,2024-04-01 18:20:00,2024-04-01 22:00:00,False,False,0,False,True,2024-04-01,18:20:00,2024-04-01,22:00:00,,JL,日本航空,寰宇一家,JL735,,10754,725,11479,12411,,,,,2024-02-09
UO653,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,290,0,320,空客320(中),M,2024-04-01 21:25:00,2024-04-02 01:15:00,False,False,0,False,True,2024-04-01,21:25:00,2024-04-02,01:15:00,True,,,,,,1563,604,2167,3132,,,,,2024-02-09
CX505,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,295,0,333,空客330(大),L,2024-04-01 18:30:00,2024-04-01 22:25:00,False,False,0,False,True,2024-04-01,18:30:00,2024-04-01,22:25:00,,,,,,,5560,725,6285,7267,,,,,2024-02-09
CX509,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,333,空客330(大),L,2024-04-01 09:15:00,2024-04-01 13:15:00,False,False,0,False,True,2024-04-01,09:15:00,2024-04-01,13:15:00,,,,,,,3376,725,4101,5100,,,,,2024-02-09
UO625,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,280,0,321,空客321(中),M,2024-04-01 06:35:00,2024-04-01 10:15:00,False,False,0,False,True,2024-04-01,06:35:00,2024-04-01,10:15:00,True,,,,,,1367,605,1972,2904,,,,,2024-02-09
CX501,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,333,空客330(大),L,2024-04-01 10:40:00,2024-04-01 14:40:00,False,False,0,False,True,2024-04-01,10:40:00,2024-04-01,14:40:00,,,,,,,3376,725,4101,5100,,,,,2024-02-09
UO629,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,280,0,321,空客321(中),M,2024-04-01 02:20:00,2024-04-01 06:00:00,False,False,0,False,True,2024-04-01,02:20:00,2024-04-01,06:00:00,True,,,,,,1584,605,2189,3121,,,,,2024-02-09
CX549,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,275,0,77W,波音777(大),L,2024-04-01 16:25:00,2024-04-01 20:00:00,False,False,0,False,True,2024-04-01,16:25:00,2024-04-01,20:00:00,,,,,,,4437,727,5164,6079,,,,,2024-02-09
UO647,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,295,0,321,空客321(中),M,2024-04-01 19:20:00,2024-04-01 23:15:00,False,False,0,False,True,2024-04-01,19:20:00,2024-04-01,23:15:00,True,,,,,,2029,604,2633,3615,,,,,2024-02-09
CX451,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,410,0,333,空客330(大),L,2024-04-01 15:40:00,2024-04-01 21:30:00,False,False,1,False,True,2024-04-01,15:40:00,2024-04-01,21:30:00,,,,,,"[{'countryName': '中国', 'provinceId': 53, 'cityCode': 'TPE', 'cityName': '台北', 'airportCode': 'TPE', 'airportName': '桃园机场', 'duration': 60, 'luggageDirectType': 0}]",5560,839,6399,7764,,,,,2024-02-09
