航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,出发日期,出发时间,到达日期,到达时间,isLowCostCarrier,operateAirlineCode,operateAirlineName,operateAlliance,operateFlightNo,stopList,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
CX6321,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,275,0,789,波音787(大),L,2024-04-01 09:55:00,2024-04-01 13:30:00,False,False,0,False,True,2024-04-01,09:55:00,2024-04-01,13:30:00,,JL,日本航空,寰宇一家,JL029,,10905,723,11628,12543,,,,,2024-03-03
CX521,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,290,0,333,空客330(大),L,2024-04-01 17:15:00,2024-04-01 21:05:00,False,False,0,False,True,2024-04-01,17:15:00,2024-04-01,21:05:00,,,,,,,4274,721,4995,5960,,,,,2024-03-03
UO623,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,280,0,321,空客321(中),M,2024-04-01 01:00:00,2024-04-01 04:40:00,False,False,0,False,True,2024-04-01,01:00:00,2024-04-01,04:40:00,True,,,,,,1382,603,1985,2917,,,,,2024-03-03
CX527,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,333,空客330(大),L,2024-04-01 14:50:00,2024-04-01 18:50:00,False,False,0,False,True,2024-04-01,14:50:00,2024-04-01,18:50:00,,,,,,,3367,721,4088,5087,,,,,2024-03-03
CX451,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,405,0,333,空客330(大),L,2024-04-01 15:45:00,2024-04-01 21:30:00,False,False,1,False,True,2024-04-01,15:45:00,2024-04-01,21:30:00,,,,,,"[{'countryName': '中国', 'provinceId': 53, 'cityCode': 'TPE', 'cityName': '台北', 'airportCode': 'TPE', 'airportName': '桃园机场', 'duration': 70, 'luggageDirectType': 0}]",5545,836,6381,7729,,,,,2024-03-03
HX607,1,HX,香港航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,320,空客320(中),M,2024-04-01 09:30:00,2024-04-01 13:30:00,False,False,0,False,True,2024-04-01,09:30:00,2024-04-01,13:30:00,,,,,,,1499,630,2129,3128,,,,,2024-03-03
UO871,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,295,0,321,空客321(中),M,2024-04-01 17:05:00,2024-04-01 21:00:00,False,False,0,False,True,2024-04-01,17:05:00,2024-04-01,21:00:00,True,,,,,,2014,601,2615,3597,,,,,2024-03-03
HX609,1,HX,香港航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,305,0,333,空客330(大),L,2024-04-01 15:55:00,2024-04-01 20:00:00,False,False,0,False,True,2024-04-01,15:55:00,2024-04-01,20:00:00,,,,,,,2331,630,2961,3976,,,,,2024-03-03
CX6323,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,280,0,788,波音787(大),L,2024-04-01 18:20:00,2024-04-01 22:00:00,False,False,0,False,True,2024-04-01,18:20:00,2024-04-01,22:00:00,,JL,日本航空,寰宇一家,JL735,,10905,721,11626,12558,,,,,2024-03-03
UO653,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,290,0,321,空客321(中),M,2024-04-01 21:25:00,2024-04-02 01:15:00,False,False,0,False,True,2024-04-01,21:25:00,2024-04-02,01:15:00,True,,,,,,1765,601,2366,3331,,,,,2024-03-03
CX505,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,290,0,333,空客330(大),L,2024-04-01 18:30:00,2024-04-01 22:20:00,False,False,0,False,True,2024-04-01,18:30:00,2024-04-01,22:20:00,,,,,,,4274,721,4995,5960,,,,,2024-03-03
CX509,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,333,空客330(大),L,2024-04-01 09:15:00,2024-04-01 13:15:00,False,False,0,False,True,2024-04-01,09:15:00,2024-04-01,13:15:00,,,,,,,3367,721,4088,5087,,,,,2024-03-03
UO625,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,280,0,321,空客321(中),M,2024-04-01 06:35:00,2024-04-01 10:15:00,False,False,0,False,True,2024-04-01,06:35:00,2024-04-01,10:15:00,True,,,,,,1061,603,1664,2596,,,,,2024-03-03
CX501,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,333,空客330(大),L,2024-04-01 10:40:00,2024-04-01 14:40:00,False,False,0,False,True,2024-04-01,10:40:00,2024-04-01,14:40:00,,,,,,,3367,721,4088,5087,,,,,2024-03-03
UO629,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,280,0,321,空客321(中),M,2024-04-01 02:20:00,2024-04-01 06:00:00,False,False,0,False,True,2024-04-01,02:20:00,2024-04-01,06:00:00,True,,,,,,1382,603,1985,2917,,,,,2024-03-03
CX549,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,275,0,77W,波音777(大),L,2024-04-01 16:25:00,2024-04-01 20:00:00,False,False,0,False,True,2024-04-01,16:25:00,2024-04-01,20:00:00,,,,,,,4426,723,5149,6064,,,,,2024-03-03
UO647,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,295,0,321,空客321(中),M,2024-04-01 19:20:00,2024-04-01 23:15:00,False,False,0,False,True,2024-04-01,19:20:00,2024-04-01,23:15:00,True,,,,,,2014,601,2615,3597,,,,,2024-03-03
