航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,出发日期,出发时间,到达日期,到达时间,isLowCostCarrier,operateAirlineCode,operateAirlineName,operateAlliance,operateFlightNo,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
CA929,1,CA,中国国航,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,165,0,332,空客330(大),L,2024-04-01 09:55:00,2024-04-01 13:40:00,False,False,0,False,True,2024-04-01,09:55:00,2024-04-01,13:40:00,,,,,,2700,400,3100,3649,,,,,2024-02-05
FM815,1,FM,上海航空,天合联盟,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,190,0,789,波音787(大),L,2024-04-01 08:20:00,2024-04-01 12:30:00,False,False,0,False,True,2024-04-01,08:20:00,2024-04-01,12:30:00,,,,,,4900,404,5304,5936,,,,,2024-02-05
NH970,1,NH,全日空航空,星空联盟,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,,170,0,789,波音787(大),L,2024-04-01 13:35:00,2024-04-01 17:25:00,False,False,0,False,True,2024-04-01,13:35:00,2024-04-01,17:25:00,,,,,,2773,458,3231,3797,,,,,2024-02-05
HO3131,1,HO,吉祥航空,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,170,0,789,波音787(大),L,2024-04-01 13:00:00,2024-04-01 16:50:00,False,False,0,False,True,2024-04-01,13:00:00,2024-04-01,16:50:00,,NH,全日空航空,星空联盟,NH920,4120,458,4578,5144,,,,,2024-02-05
JL080,1,JL,日本航空,寰宇一家,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,180,0,773,波音777(大),L,2024-04-01 09:00:00,2024-04-01 13:00:00,False,False,0,False,True,2024-04-01,09:00:00,2024-04-01,13:00:00,,,,,,2058,553,2611,3210,,,,,2024-02-05
CA919,1,CA,中国国航,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,160,0,32A,空客320(中),M,2024-04-01 14:35:00,2024-04-01 18:15:00,False,False,0,False,True,2024-04-01,14:35:00,2024-04-01,18:15:00,,,,,,2700,400,3100,3632,,,,,2024-02-05
HO1379,1,HO,吉祥航空,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,180,0,32S,空客32S(中),M,2024-04-01 08:10:00,2024-04-01 12:10:00,False,False,0,False,True,2024-04-01,08:10:00,2024-04-01,12:10:00,,,,,,1840,458,2298,2897,,,,,2024-02-05
CZ8309,1,CZ,南方航空,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,185,0,32M,空客321(中),M,2024-04-01 09:20:00,2024-04-01 13:25:00,False,False,0,False,True,2024-04-01,09:20:00,2024-04-01,13:25:00,,,,,,2000,399,2399,3015,,,,,2024-02-05
MU523,1,MU,东方航空,天合联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,165,0,325,空客321(中),M,2024-04-01 09:05:00,2024-04-01 12:50:00,False,False,0,False,True,2024-04-01,09:05:00,2024-04-01,12:50:00,,,,,,3030,404,3434,3983,,,,,2024-02-05
GK036,1,GK,捷星日本,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T3,195,0,320,空客320(中),M,2024-04-01 02:05:00,2024-04-01 06:20:00,False,False,0,False,True,2024-04-01,02:05:00,2024-04-01,06:20:00,True,,,,,1013,492,1505,2154,,,,,2024-02-05
HO3137,1,HO,吉祥航空,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,,175,0,788,波音787(大),L,2024-04-01 01:35:00,2024-04-01 05:30:00,False,False,0,False,True,2024-04-01,01:35:00,2024-04-01,05:30:00,,NH,全日空航空,星空联盟,NH968,2060,458,2518,3100,,,,,2024-02-05
FM895,1,FM,上海航空,天合联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,175,0,73E,波音738(中),M,2024-04-01 11:55:00,2024-04-01 15:50:00,False,False,0,False,True,2024-04-01,11:55:00,2024-04-01,15:50:00,,,,,,2730,404,3134,3716,,,,,2024-02-05
9C6217,1,9C,春秋航空,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T3,185,0,320,空客320(中),M,2024-04-01 14:55:00,2024-04-01 19:00:00,False,False,0,False,True,2024-04-01,14:55:00,2024-04-01,19:00:00,True,,,,,1200,402,1602,2218,,,,,2024-02-05
MU575,1,MU,东方航空,天合联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,170,0,773,波音777(大),L,2024-04-01 17:30:00,2024-04-01 21:20:00,False,False,0,False,True,2024-04-01,17:30:00,2024-04-01,21:20:00,,,,,,2730,404,3134,3700,,,,,2024-02-05
NH920,1,NH,全日空航空,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,170,0,789,波音787(大),L,2024-04-01 13:00:00,2024-04-01 16:50:00,False,False,0,False,True,2024-04-01,13:00:00,2024-04-01,16:50:00,,,,,,2209,458,2667,3233,,,,,2024-02-05
MM898,1,MM,日本乐桃航空,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,175,0,32N,空客320(中),M,2024-04-01 01:05:00,2024-04-01 05:00:00,False,False,0,False,True,2024-04-01,01:05:00,2024-04-01,05:00:00,True,,,,,1641,130,1771,2353,,,,,2024-02-05
JL082,1,JL,日本航空,寰宇一家,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,175,0,773,波音777(大),L,2024-04-01 12:50:00,2024-04-01 16:45:00,False,False,0,False,True,2024-04-01,12:50:00,2024-04-01,16:45:00,,,,,,2058,553,2611,3193,,,,,2024-02-05
MU271,1,MU,东方航空,天合联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,175,0,32L,空客321(中),M,2024-04-01 17:00:00,2024-04-01 20:55:00,False,False,0,False,True,2024-04-01,17:00:00,2024-04-01,20:55:00,,,,,,3030,404,3434,4016,,,,,2024-02-05
