航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,出发日期,出发时间,到达日期,到达时间,isLowCostCarrier,operateAirlineCode,operateAirlineName,operateAlliance,operateFlightNo,stopList,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
CX527,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,305,0,333,空客330(大),L,2024-04-01 14:50:00,2024-04-01 18:55:00,False,False,0,False,True,2024-04-01,14:50:00,2024-04-01,18:55:00,,,,,,,5529,722,6251,7266,,,,,2024-02-13
UO871,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,295,0,321,空客321(中),M,2024-04-01 17:05:00,2024-04-01 21:00:00,False,False,0,False,True,2024-04-01,17:05:00,2024-04-01,21:00:00,True,,,,,,2381,601,2982,3964,,,,,2024-02-13
HX607,1,HX,香港航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,320,空客320(中),M,2024-04-01 09:30:00,2024-04-01 13:30:00,False,False,0,False,True,2024-04-01,09:30:00,2024-04-01,13:30:00,,,,,,,1353,630,1983,2982,,,,,2024-02-13
HX609,1,HX,香港航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,305,0,333,空客330(大),L,2024-04-01 15:55:00,2024-04-01 20:00:00,False,False,0,False,True,2024-04-01,15:55:00,2024-04-01,20:00:00,,,,,,,1353,630,1983,2998,,,,,2024-02-13
CX6323,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,280,0,788,波音787(大),L,2024-04-01 18:20:00,2024-04-01 22:00:00,False,False,0,False,True,2024-04-01,18:20:00,2024-04-01,22:00:00,,JL,日本航空,寰宇一家,JL735,,10723,721,11444,12376,,,,,2024-02-13
UO653,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,290,0,320,空客320(中),M,2024-04-01 21:25:00,2024-04-02 01:15:00,False,False,0,False,True,2024-04-01,21:25:00,2024-04-02,01:15:00,True,,,,,,1553,601,2154,3119,,,,,2024-02-13
CX505,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,295,0,333,空客330(大),L,2024-04-01 18:30:00,2024-04-01 22:25:00,False,False,0,False,True,2024-04-01,18:30:00,2024-04-01,22:25:00,,,,,,,5529,722,6251,7233,,,,,2024-02-13
CX509,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,333,空客330(大),L,2024-04-01 09:15:00,2024-04-01 13:15:00,False,False,0,False,True,2024-04-01,09:15:00,2024-04-01,13:15:00,,,,,,,3357,722,4079,5078,,,,,2024-02-13
UO625,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,280,0,321,空客321(中),M,2024-04-01 06:35:00,2024-04-01 10:15:00,False,False,0,False,True,2024-04-01,06:35:00,2024-04-01,10:15:00,True,,,,,,1201,603,1804,2736,,,,,2024-02-13
CX501,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,333,空客330(大),L,2024-04-01 10:40:00,2024-04-01 14:40:00,False,False,0,False,True,2024-04-01,10:40:00,2024-04-01,14:40:00,,,,,,,3357,722,4079,5078,,,,,2024-02-13
UO629,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,280,0,321,空客321(中),M,2024-04-01 02:20:00,2024-04-01 06:00:00,False,False,0,False,True,2024-04-01,02:20:00,2024-04-01,06:00:00,True,,,,,,1387,603,1990,2922,,,,,2024-02-13
CX549,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,275,0,77W,波音777(大),L,2024-04-01 16:25:00,2024-04-01 20:00:00,False,False,0,False,True,2024-04-01,16:25:00,2024-04-01,20:00:00,,,,,,,4413,723,5136,6051,,,,,2024-02-13
UO647,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,295,0,321,空客321(中),M,2024-04-01 19:20:00,2024-04-01 23:15:00,False,False,0,False,True,2024-04-01,19:20:00,2024-04-01,23:15:00,True,,,,,,1791,601,2392,3374,,,,,2024-02-13
CX451,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,410,0,333,空客330(大),L,2024-04-01 15:40:00,2024-04-01 21:30:00,False,False,1,False,True,2024-04-01,15:40:00,2024-04-01,21:30:00,,,,,,"[{'countryName': '中国', 'provinceId': 53, 'cityCode': 'TPE', 'cityName': '台北', 'airportCode': 'TPE', 'airportName': '桃园机场', 'duration': 60, 'luggageDirectType': 0}]",5529,836,6365,7730,,,,,2024-02-13
